pincode,code,type,type_encode,rent_per_sqft,district,statename,latitude,longitude,urban,nearest_airport_km,nearest_airport_name,pincode_population,area_km2,population_density,male_population,female_population,state_gdp,state_population,pincode_gdp
285001,U110,Branch,1,9.96,JALAUN,UTTAR PRADESH,26.12251,79.4958,1.0,85.75786922172915,Kalyanpur Airport,328116.0,638.96,513.5157130336797,175494.0,152622.0,25479.0,225257355.0,37.11340552675849
301001,Q07,Branch,1,41.33,ALWAR,RAJASTHAN,27.444946,76.771163,1.0,86.06563434134337,Go Fly Zone,424883.0,880.39,482.6077079476142,224411.0,200472.0,15284.0,73788448.0,88.0071603078032
301019,Q11,Branch,1,19.43,ALWAR,RAJASTHAN,28.2119167,76.8533611,1.0,18.45136321383074,NSG Heliport,137828.0,66.0,2088.3030303030305,73825.0,64003.0,15284.0,73788448.0,28.548684910678706
301705,Q44,Branch,1,36.91,ALWAR,RAJASTHAN,28.021874,76.378198,1.0,18.07182075863862,Bhilwara Airport,67950.0,80.55,843.5754189944134,35720.0,32230.0,15284.0,73788448.0,14.074666538588804
302013,Q35,Branch,1,31.24,JAIPUR,RAJASTHAN,26.8820556,72.8154722,1.0,49.43950753298369,Phalodi Airport,140128.0,73.29,1911.9661618228952,73362.0,66766.0,15284.0,73788448.0,29.02509010624536
302016,Q01,Branch,1,34.91,JAIPUR,RAJASTHAN,27.4096944,71.5566111,1.0,73.0273624790524,Phalodi AFS,148021.0,15.49,9555.907036797937,77687.0,70334.0,15284.0,73788448.0,30.65998845781389
302020,Q05,Hub,0,19.72,JAIPUR,RAJASTHAN,26.8750079,75.753425,1.0,6.836440673303521,Jaipur Heliport,220166.0,28.91,7615.565548253199,115841.0,104325.0,15284.0,73788448.0,45.60357664657752
302020,Q17,Branch,1,22.9,JAIPUR,RAJASTHAN,26.8750079,75.753425,1.0,6.836440673303521,Jaipur Heliport,220166.0,28.91,7615.565548253199,115841.0,104325.0,15284.0,73788448.0,45.60357664657752
303007,Q41,Branch,1,15.75,JAIPUR,RAJASTHAN,26.014,75.101,1.0,70.29883120637182,Kishangarh Airport,123065.0,238.1,516.8626627467451,64375.0,58690.0,15284.0,73788448.0,25.490784953221947
303103,Q43,Branch,1,15.35,JAIPUR,RAJASTHAN,23.633227,85.514877,1.0,18.09284769180156,Ghatotand Airstrip,163226.0,293.75,555.6629787234043,85807.0,77419.0,15284.0,73788448.0,33.80944106589693
305001,Q09,Branch,1,56.99,AJMER,RAJASTHAN,26.445,74.6501944,1.0,23.08958553463348,Kishangarh Airport,135991.0,23.96,5675.751252086811,69952.0,66039.0,15284.0,73788448.0,28.16818215230655
306401,Q10,Branch,1,24.285,PALI,RAJASTHAN,25.787,73.11207,1.0,39.46351989882831,Salwas AFS,266698.0,1004.56,265.487377558334,137174.0,129524.0,15284.0,73788448.0,55.24187515097214
311001,Q12,Branch,1,20.83,BHILWARA,RAJASTHAN,25.3384444,74.6332222,1.0,22.00784463173591,Ondwa Airport,341342.0,164.7,2072.50758955677,175843.0,165499.0,15284.0,73788448.0,70.70308794135363
313001,Q04,Branch,1,45.8,UDAIPUR,RAJASTHAN,24.62,73.75,1.0,14.771347615428276,Udaipur Airport (UDR/VAUD),411291.0,343.02,1199.029211124716,211518.0,199773.0,15284.0,73788448.0,85.19181273469798
321001,Q40,Branch,1,19.6,BHARATPUR,RAJASTHAN,27.172,77.564,1.0,34.53669389157412,Mathura Heliport,356283.0,349.33,1019.9038158761056,189183.0,167100.0,15284.0,73788448.0,73.79785751829338
332001,Q16,Branch,1,92.35,SIKAR,RAJASTHAN,27.5830788,75.1102638,1.0,20.78501867047899,Tarpura Airfield,206727.0,118.02,1751.6268429079817,106356.0,100371.0,15284.0,73788448.0,42.819920375612185
334001,Q14,Branch,1,7.42,BIKANER,RAJASTHAN,27.8827,73.0995,1.0,23.417851675225936,Nal-Bikaner AFS (BKB/VIBK),591347.0,4804.96,123.07011921014951,312424.0,278923.0,15284.0,73788448.0,122.48729703598048
335001,Q13,Branch,1,21.61,GANGANAGAR,RAJASTHAN,29.968766,73.822792,1.0,7.77253760040572,Sri Ganganagar Helipad,317859.0,535.74,593.3083212005823,169539.0,148320.0,15284.0,73788448.0,65.83899089461808
342005,Q02,Branch,1,28.69,JODHPUR,RAJASTHAN,26.225,73.0045556,1.0,5.289758296966894,Jodhpur AFS (JDH/VIJO),153547.0,51.49,2982.074189162944,80576.0,72971.0,15284.0,73788448.0,31.804603723336204
360002,A03,Branch,1,31.74,RAJKOT,GUJARAT,22.5200519,71.0108243,1.0,33.39328488358335,Rajkot Airport (RAJ/VARK),34254.0,45.52,752.5043936731107,17997.0,16257.0,24258.0,65744656.0,12.638799600685417
380008,A11,Branch,1,43.76,AHMADABAD,GUJARAT,22.99508,72.603594,0.0,8.92632433957696,Ahmedabad International Airport (AMD/VAAH),180239.0,5.99,30089.98330550918,94965.0,85274.0,24258.0,65744656.0,66.5033164368523
380009,A24,Branch,1,54.21,AHMADABAD,GUJARAT,23.047151,72.552753,0.0,8.248620125249577,Ahmedabad International Airport (AMD/VAAH),168147.0,5.36,31370.70895522388,88594.0,79553.0,24258.0,65744656.0,62.04169546495155
380060,A36,Branch,1,55.71,AHMADABAD,GUJARAT,23.11646,72.51344,0.0,3.2573824254310706,Ahmedabad SGVP Helipad,259958.0,65.95,3941.743745261562,136756.0,123202.0,24258.0,65744656.0,95.91747143676592
382028,A38,Branch,1,37.5,GANDHINAGAR,GUJARAT,23.27,72.61,0.0,7.653849660792163,Gandhinagar Heliport,20231.0,28.07,720.7338795867474,10542.0,9689.0,24258.0,65744656.0,7.464691852673167
